FID,ogc_fid,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,nombre,descripcion,direccion,url,email,contacto,horarios,precios,titularidad,tarjetajoven,accesopmr,tlfcontacto,infoesp,wkb_geometry,VEINTICUATROHORAS,fiabilidad_pct
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f86,6220457,,,,,,,-1,0,-1,,,3636,DEA_086,Parking Alcazaba (Oficinas SMASSA) Recepción/Información,"PLAZA DE JESÚS ""EL RICO"", 2",,jmcano@smassa.eu,,08:00-22:00,,MUNICIPAL,No,No,952060104,,POINT (-4.416346003848506 36.72266354213479),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f85,6220458,,,,,,,-1,0,-1,,,14286,DEA_716,PARKING ALCAZABA,"PLAZA DE JESÚS ""EL RICO"", 2",,jmcano@smassa.es,,08:00-22:00,,MUNICIPAL,No,No,952212300,,POINT (-4.416424407084675 36.722630809343045),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f84,6220459,,,,,,,-1,0,-1,,,7092,DEA_207,Panadería Salvador Echevarría del Palo (Entrada),"AVENIDA DE JUAN SEBASTIÁN ELCANO, 164",,federico@panaderiasalvador.es,,L a D 06:30 a 21:30,,PRIVADA,No,No,951570304,,POINT (-4.363148181641069 36.72140438065625),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f83,6220460,,,,,,,-1,0,-1,,,4082,DEA_572,EMPRESA Club Mediterráneo. Tienda.,"PASEO DE LA FAROLA, 18",,frivera@realclubmediterreaneo.com,,08:00h a 22:00h,,PRIVADA,No,No,952226300,,POINT (-4.414338977186765 36.714144895527255),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f82,6220461,,,,,,,-1,0,-1,,,7224,DEA_220,EMPRESA EMASA (Hall),"PLAZA DEL GENERAL TORRIJOS, 2",,fdjf@emasa.es,,L a V 06:00h a 17:00h,,MUNICIPAL,No,No,636295407,,POINT (-4.411627765133789 36.72062833980781),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f81,6220462,,,,,,,-1,0,-1,,,80464,DEA_829,HOPSITAL NOBLE (CENTESIMAL),"PLAZA DEL GENERAL TORRIJOS, 2",,areainnovacion@malaga.eu,,7.00 a 20.00,,PRIVADA,No,No,951928834,,POINT (-4.411900488593656 36.72042158658668),No,84
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f80,6220463,,,,,,,-1,0,-1,,,11615,DEA_377,OFICINA TURISMO (Dentro de la oficina),"PLAZA DE LA MARINA, 11",,jmpajero@gmail.com,,L a D 9:00 a 18:00h,,MUNICIPAL,No,No,951928478,,POINT (-4.4205844956514415 36.71737846672966),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f7f,6220464,,,,,,,-1,0,-1,,,8427,DEA_617,"EMPRESA VALS SPORT C. JARDIN, vitrina al lado de recepción","AVENIDA DE JACINTO BENAVENTE, 14",,CIUDADJARDIN@VALSSPORT.COM,,L- V 07:30-23:00. S-D: 09:00-15h vitrina al lado de recepción,,PRIVADA,No,No,951990338,,POINT (-4.424177270896223 36.75106877274624),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f7e,6220465,,,,,,,-1,0,-1,,,3701,DEA_143,"BIBLIOTECA ""Damaso Alonso"" (sala de adulto)","CALLE ALCALDE NICOLÁS MAROTO, 18",,biblio.dolouso@malaga.eu,,"De lunes a viernes de  9:30 A 14:00 horas
Miércoles y jueves tardes de 16:30 a 20:30 horas",,MUNICIPAL,No,No,951928614,,POINT (-4.41740853731539 36.74914336889855),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f7d,6220466,,,,,,,-1,0,-1,,,13044,DEA_473,"CLINICA DENTAL CROOKE Y LAGUNA,SL","PASEO DE LA FAROLA, 1",,administracion@crooke.net,,"L a J: 9:00 a 20:00 h.
V: 9:00 a 14:00 h.",,PRIVADA,No,No,952229192,,POINT (-4.412023944429277 36.71939325942422),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f7c,6220467,,,,,,,-1,0,-1,,,6742,DEA_601,"EMPRESA Muelle Uno  (puesto permanente de Seguridad, Junto entrada Pompidou)","PASEO DE LA FAROLA, 4",,felipe.perez@muelleuno.com,,Ininterrumpido,,PRIVADA,No,No,952003942,,POINT (-4.412735986007953 36.7187127632424),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f7b,6220468,,,,,,,-1,0,-1,,,6743,DEA_602,EMPRESA Muelle Uno Parking de La Farola  (Garita de Control).,"PASEO DE LA FAROLA, 4",,felipe.perez@muelleuno.com,,Ininterrumpido,,PRIVADA,No,No,952003942,,POINT (-4.41287045402601 36.719153182707544),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f7a,6220469,,,,,,,-1,0,-1,,,3753,DEA_124,Centro Innosocial Málaga ODS (Entrada a la izquierda),"CALLE MURO DE SAN JULIÁN, 33",,m.bran@anabalempleo.org,,"L a J 9:00 a 14:00 y 16:00 a 19:00 h.
V 9:00 a 14:00 h.",,MUNICIPAL,No,No,952300500,,POINT (-4.420770336118466 36.72397361940885),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f79,6220470,,,,,,,-1,0,-1,,,3758,DEA_129,"TOTEM (Marqués de Larios, 1)","CALLE MARQUÉS DE LARIOS, 1",,jtoscano@malaga.eu,,24h,,MUNICIPAL,No,No,,,POINT (-4.421761378670503 36.72041126713),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f78,6220471,,,,,,,-1,0,-1,,,9804,DEA_631,EMPRESA Mutua Universal (Entrada),"CALLE MARISMA, 29",,evazquez@mutuauniversal.net,,"08:00h ---- 19h De lunes a Viernes
08:00h ---- 15h Agosto",,PRIVADA,No,No,952640244,,POINT (-4.470672968608083 36.71220853408657),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f77,6220472,,,,,,,-1,0,-1,,,80434,DEA_817,CEIP MIRAFLORES DE LOS ÁNGELES (CENTESIMAL),"AVENIDA DE MIRAFLORES DE LOS ÁNGELES, 6",,areainnovacion@malaga.eu,,7:00-18:00 (L-V),,PRIVADA,No,No,951298642,,POINT (-4.442492692474655 36.72987649291303),No,84
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f76,6220473,,,,,,,-1,0,-1,,,6665,DEA_196,TOTEM (Calle Armengual de la Mota nº1),"CALLE ARMENGUAL DE LA MOTA, 1",,jtoscano@malaga.eu,,24 horas,,MUNICIPAL,No,No,,,POINT (-4.429945829369116 36.717231194793996),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f75,6220474,,,,,,,-1,0,-1,,,10116,DEA_634,ADMÓN CIUDAD DE LA JUSTICIA DE MALAGA (Pasillo público IML clinica junto a sala GESELL),"CALLE FISCAL LUIS PORTERO GARCÍA, 6",,gerencia.cjm.jus@juntadeandalucia.es,,24H,,AUTONOMICA,No,No,951938409,,POINT (-4.461104723814603 36.71557778713985),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f74,6220475,,,,,,,-1,0,-1,,,10117,DEA_635,ADMÓN CIUDAD DE LA JUSTICIA DE MÁLAGA (Junto a información planta baja),"CALLE FISCAL LUIS PORTERO GARCÍA, 6",,gerencia.cjm.jus@juntadeandalucia.es,,24h,,AUTONOMICA,No,No,951938409,,POINT (-4.46107910340577 36.71547634321394),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f73,6220476,,,,,,,-1,0,-1,,,10118,DEA_636,ADMÓN CIUDAD DE LA JUSTICIA DE MÁLAGA (Pasillo público planta tercera zona escalera nº2),"CALLE FISCAL LUIS PORTERO GARCÍA, 6",,gerencia.cjm.jus@juntadeandalucia.es,,24h,,AUTONOMICA,No,No,951938409,,POINT (-4.461341899721835 36.715587594967296),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f72,6220477,,,,,,,-1,0,-1,,,10119,DEA_637,ADMÓN  CIUDAD DE LA JUSTICIA DE MÁLAGA (Pasillo sala de vistas público planta baja),"CALLE FISCAL LUIS PORTERO GARCÍA, 6",,gerencia.cjm.jus@juntadeandalucia.es,,24h,,AUTONOMICA,No,No,951938409,,POINT (-4.461023096079242 36.715438871351886),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f71,6220478,,,,,,,-1,0,-1,,,10120,DEA_638,ADMÓN CIUDAD DE LA JUSTICIA (Pasillo público sala de vistas PLANTA SS),"CALLE FISCAL LUIS PORTERO GARCÍA, 6",,gerencia.cjm.jus@juntadeandalucia.es,,24H,,AUTONOMICA,No,No,951938409,,POINT (-4.46128196916647 36.71576004821183),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f70,6220479,,,,,,,-1,0,-1,,,3625,DEA_075,Centro Servicios Sociales Teatinos (entrada),"CALLE JUAN DE ROBLES, 38",,llozano@malaga.eu,,L a V : 08:00 - 15:00 h,,MUNICIPAL,No,No,951926171,,POINT (-4.467446342587059 36.720910894819305),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f6f,6220480,,,,,,,-1,0,-1,,,8310,DEA_248,"EMPRESA EMASA Atabal (zona baja central, armario enfrente vigilante)","CALLE JULIO VERNE, 2",,registro@emasa.es,,24h,,PRIVADA,No,No,683770083,,POINT (-4.466872157685949 36.730349381928576),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f6e,6220481,,,,,,,-1,0,-1,,,78291,DEA_769,EMPRESA CDAD PROP EDIF EL ZEJEL,"CALLE ORSON WELLES, 26",,,,,,PRIVADA,No,No,,,POINT (-4.462671876511461 36.722317136208446),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f6d,6220482,,,,,,,-1,0,-1,,,74085,DEA_751,EDUCACION CEIP LUIS DE GÓNGORA,"CALLE GÓNGORA, 11",,jesus.cano.vallejo.edu@juntadeandalucia.es,,9:00-14:00 (L-V),,PRIVADA,No,No,951298530,,POINT (-4.4299737503366785 36.709154461521614),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f6c,6220483,,,,,,,-1,0,-1,,,80458,DEA_826,CEIIP LUIS DE GONGÓRA (CENTESIMAL),"CALLE GÓNGORA, 11",,areainnovacion@malaga.eu,,7.00 A 18.00 L-V,,PRIVADA,No,No,951298530,,POINT (-4.4299737503366785 36.709154461521614),No,84
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f6b,6220484,,,,,,,-1,0,-1,,,8457,DEA_256,"CULTURA Skate Park ""Rubén Alcántara"" (Recepción)","CALLE LA ARGENTINITA, 12",,igcamarero@malaga.eu,,"Inv. L a J: 16:00 a 22:30 V 16:00 a 23:00 S 11:00 a 23:00 D 11:00 a 22:30
Ver.L a D 18:00 a 00:00",,PRIVADA,No,No,9852307591,,POINT (-4.446878768319878 36.72625443263041),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f6a,6220485,,,,,,,-1,0,-1,,,3751,DEA_122,CULTURA Teatro Echegaray (vestibulo),"CALLE ECHEGARAY, 6",,jmpineda@malagaprocultura.com,,L a D de 16:00 a 22:00H,,MUNICIPAL,No,No,952224109,,POINT (-4.419166321453964 36.72134831082221),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f69,6220486,,,,,,,-1,0,-1,,,3767,DEA_153,Policía Local Bailén Miraflores. (Entrada a la derecha),"CALLE GASPAR NÚÑEZ DE ARCE, 2",,policialocalnorte@malaga.eu - famartin@malaga.eu,,Atención al ciudadano las 24 horas.,,MUNICIPAL,No,No,,,POINT (-4.4475771672474265 36.734150879777985),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f68,6220487,,,,,,,-1,0,-1,,,13051,DEA_480,EDUCACION IES CAMPANILLAS(Entrada principal),"CALLE FAUSTO, 45",,29700011.edu@juntadeandalucia.es,,L a V 7:45 a 15:00h.,Entrada principal del centro educativo,PRIVADA,No,No,951298460,,POINT (-4.550947138157327 36.726771604314735),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f67,6220488,,,,,,,-1,0,-1,,,7866,DEA_243,"TOTEM (Plaza de la Marina,5)","PLAZA DE LA MARINA, 5",,jtoscano@malaga.eu,,24h,,MUNICIPAL,No,No,,,POINT (-4.4198536594244775 36.71733841213436),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f66,6220489,,,,,,,-1,0,-1,,,12064,DEA_396,EDUCACION IES Ciudad de Melilla (frenta a la sala de profesores),"CALLE MANUEL ASSIEGO CODES, 52",,iescmma@gmail.com,,Lunes a Viernes de 8:30 a 15:00 h,"Frente a la sala de profesores, entrada del centro educativo",PRIVADA,No,No,,,POINT (-4.442402929982045 36.697804247450144),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f65,6220490,,,,,,,-1,0,-1,,,3666,DEA_137,Policia Local Carretera Cadiz. (Recepción a la izquierda),"CALLE MANUEL VARGAS, 9",,famartin@malaga.eu,,Atención al ciudadano las 24 horas.,,MUNICIPAL,No,No,,,POINT (-4.44799733390608 36.70105697630162),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f64,6220491,,,,,,,-1,0,-1,,,6682,DEA_595,EMPRESA El Corte Inglés Scala 2000(Junto a Agencia de Viajes),"CALLE DON CRISTIÁN, 7",,,,L a S y Festivo de Apertura 10:00 a 22:00,,PRIVADA,No,No,952286403,,POINT (-4.4289766853188635 36.71852166960968),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f63,6220492,,,,,,,-1,0,-1,,,3759,DEA_130,"TOTEM (C/ Marqués de Larios,18)","CALLE MARQUÉS DE LARIOS, 18",,jtoscano@malaga.eu,,24 h,,MUNICIPAL,No,No,,,POINT (-4.421547610160895 36.718326675870095),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f62,6220493,,,,,,,-1,0,-1,,,9053,DEA_626,CP COLEGIO DE ABOGADOS DE MÁLAGA (a la derecha de entrada principal del edificio),"PASEO DE LA FAROLA, 13",,registro@icamalaga.es,,"L-J 8:00 A 18.00H 
V 8.00 A 15.00H",,PRIVADA,No,No,951017900,,POINT (-4.413091916597897 36.71624978429362),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f61,6220494,,,,,,,-1,0,-1,,,14125,DEA_693,METRO. Estación Guadalmedina,"CALLE ARMENGUAL DE LA MOTA, 2",,j.ocana@metromalaga.es,,Lunes a Jueves 06:30-23:15. Viernes 06:30-01:45. Sábado 07:00-01:45. Domingo y festivo 07:00-23:15 h.,,PRIVADA,No,No,952061641,,POINT (-4.429083355791429 36.71732504939456),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f60,6220495,,,,,,,-1,0,-1,,,3921,DEA_580,EDUCACIÓN CE Diocesana Virgen del Carmen (Hall entrada junto conserjería),"CALLE LAS NAVAS, 13",,relacionesexternas@fundacionvictoria.edu.es,,"L a J de 7:30 a 17:00h 
V 7:30 a 16:30
( periodo escolar)",,PRIVADA,No,No,952311243,,POINT (-4.436229668049449 36.70230739678059),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f5f,6220496,,,,,,,-1,0,-1,,,4243,DEA_537,CENTRO DE SALUD La Luz (consulta 6),"AVENIDA DE BONAIRE, 9",,direccion.d.malaga.sspa@juntadeandalucia.es,,L a V de 8 a 20 h,,AUTONOMICA,No,No,951308406,,POINT (-4.455960999567661 36.69523104040763),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f5e,6220497,,,,,,,-1,0,-1,,,13744,DEA_514,BIBLIOTECA JORGE GUILLEN (CONVENTO DE SAN ANDRES),"CALLE ESLAVA, 8",,egalan@malaga.eu,,"L a V 9:30 a 14:00.
L y X 16:30 a 20:30 h.",,MUNICIPAL,No,No,951929273,,POINT (-4.429811084728581 36.713098310876966),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f5d,6220498,,,,,,,-1,0,-1,,,10366,DEA_272,Estación de Autobuses Málaga,"CALLE EGUILUZ, 4",,mantenimiento@cordis-group.com,,L a D de 07:00 a 21:30 h.,,PRIVADA,No,No,621689392,,POINT (-4.434644343330088 36.71303096962047),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f5c,6220499,,,,,,,-1,0,-1,,,8884,DEA_622,CP Colegio de Médicos (Pasillo cafetería),"CALLE CURTIDORES, 1",,presidencia@commalaga.com,,L a V 8:00 a 20:00,,PRIVADA,No,No,951019400,,POINT (-4.4519436813875775 36.7045481037009),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f5b,6220500,,,,,,,-1,0,-1,,,8885,DEA_623,CP Colegio de Médicos de la provincia de Málaga (Hall Planta Arriba),"CALLE CURTIDORES, 1",,presidencia@commalaga.com,,L a V  8:00 a 20:00,,PRIVADA,No,No,951019400,,POINT (-4.4517850897237246 36.70430518114087),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f5a,6220501,,,,,,,-1,0,-1,,,3183,DEA_010,"BIBLIOTECA ""Manuel Altolaguirre"" Los Tilos (Planta baja junto mostrador inf.)","CALLE CALATRAVA, 6",,mrcarmona@malaga.eu,,"L-V  09:00-21:00h
S 09:00 a 14:00",,MUNICIPAL,No,No,951926176,,POINT (-4.437754397025615 36.71353990489106),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f59,6220502,,,,,,,-1,0,-1,,,74520,DEA_767,"TOTEM (Alonso de Mudarra, 40)","CALLE DE ALONSO DE MUDARRA, 40",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,682760873,,POINT (-4.512443897451353 36.673102120328686),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f58,6220503,,,,,,,-1,0,-1,,,12484,DEA_453,"TOTEM ( Jose Calderón,40)","CALLE JOSÉ CALDERÓN, 40",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,,,POINT (-4.537872875371362 36.723253986463945),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f57,6220504,,,,,,,-1,0,-1,,,7284,DEA_234,C. Deportivo Campo de futbol Santa Rosalía Maqueda (Cuarto de Árbitros),"CALLE ABEL, 2",,u.d.santarosaliamaqueda@hotmail.com,,"L a V 16:30 a 21:00 h.
S y D 10:00 a 22:00 h.",,MUNICIPAL,No,No,626519436,,POINT (-4.5713740175157795 36.728760704944754),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f56,6220505,,,,,,,-1,0,-1,,,9093,DEA_627,EMPRESA Banco Unicaja ACERA DE LA MARINA (Vestíbulo entrada junto a puesto de control),"PLAZA DE LA MARINA, 3",,mhorcaja@unicaja.es,,L- V  8:00 a 15:00 h,,PRIVADA,No,No,952138500,,POINT (-4.420565165029014 36.71854852878263),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f55,6220506,,,,,,,-1,0,-1,,,3654,DEA_136,Centro de Formación Municipal,"CALLE PALESTINA, 7",,cromero@malaga.eu,,"L a V de  7:00 h a 15:00 h.
",,MUNICIPAL,No,No,951929028,,POINT (-4.440304696445672 36.71776750856779),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f54,6220507,,,,,,,-1,0,-1,,,4041,DEA_569,EMPRESA Gimnasio Vals Sport Teatinos (Recepción),"CALLE MESONERO ROMANOS, 11",,JAVIERPAJUELO@VALSSPORT.COM,,"L a V 08:00 A 22:30 HRS
S, D Y FESTIVOS DE 09:00 A 15:00 HRS.
VERANO  DOMINGO DE 9 A 14 HRS",,PRIVADA,No,No,952003303,,POINT (-4.460217634261114 36.72141848488031),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f53,6220508,,,,,,,-1,0,-1,,,80034,DEA_795,IES CIUDAD JARDIN (secretaría),"CALLE JEREZ PERCHET, 36",,29700795.edu@juntadeandalucia.es,,Días lectivos de 8.15 a 14.45,,PRIVADA,No,No,,,POINT (-4.417431858876346 36.74666251292533),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f52,6220574,,,,,,,-1,0,-1,,,80436,DEA_819,CEIP CLARA CAMPOAMOR (CENTESIMAL),"AVENIDA IMPERIO ARGENTINA, 2",,areainnovacion@malaga.eu,,7:00-18:00 (L-V),,PRIVADA,No,No,951293601,,POINT (-4.4576944846155255 36.68366677506305),No,84
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f51,6220509,,,,,,,-1,0,-1,,,3723,DEA_142,"OMAC  Teatinos (entrada, junto conserjería)","CALLE DIEGO LÓPEZ DE ZÚÑIGA, 12",,cmoreno@malaga.eu,,"L-V DE 8:00 - 15:00 H
",,MUNICIPAL,No,No,951926151,,POINT (-4.46850516446207 36.72290585410336),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f50,6220510,,,,,,,-1,0,-1,,,7164,DEA_216,Residencial Puerto de la Luz (Recepción frente puerta de entrada),"CALLE LAGARILLO, 25",,,,24 h,,PRIVADA,No,No,952107090,,POINT (-4.493271478980181 36.75815597648364),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f4f,6220511,,,,,,,-1,0,-1,,,12367,DEA_432,TOTEM (Avda. Jane Bowles),"AVENIDA DE JANE BOWLES, 16",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,,,POINT (-4.426183863975336 36.746545068651784),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f4e,6220512,,,,,,,-1,0,-1,,,79882,DEA_794,CLUB DE PETANCA CHURRIANA,"CALLE RIGOBERTA MENCHÚ, 1",,cpchurriana@gmail.com,,L-V 16.00H A 21.00H,,MUNICIPAL,No,No,,,POINT (-4.498674383824697 36.66556370431769),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f4d,6220513,,,,,,,-1,0,-1,,,13687,DEA_341,Centro Ciudadano Los Prados (Entrada),"CALLE DRIZA, 2",,jubiladopensionistajuansanchez@gmail.com,,L-V 10-14H Y 17-21H,,MUNICIPAL,No,No,,,POINT (-4.475721551288458 36.698727349004585),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f4c,6220514,,,,,,,-1,0,-1,,,3964,DEA_544,CULTURA La Térmica (Conserjería),"AVENIDA DE LOS GUINDOS, 48",,fjmanzano@malaga.es,,08:00h a 22:00h de L a D,,Provincial,No,No,952069100,,POINT (-4.445148338152484 36.690049145524114),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f4b,6220515,,,,,,,-1,0,-1,,,6762,DEA_604,EMPRESA DEKRA Edificio Piramide. (Entrada),"CALLE SEVERO OCHOA, 6",,,,07:00-19:00,,PRIVADA,No,No,952619100,,POINT (-4.554502666007153 36.735228346355996),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1f4a,6220516,,,,,,,-1,0,-1,,,4283,DEA_589,EMPRESA Inovalis Málaga Propco Spain S.L. (garita),"CALLE SEVERO OCHOA, 16",,faguilar@hmas.es / aherrero@hmas.es,,L a D 24 h,,PRIVADA,No,No,952020061,,POINT (-4.556617420083575 36.735342070131686),No,82
